model,mAP_50_95,mAP_50,mAP_75,precision,recall,f1,operating_threshold
YOLOv11,0.6718806653805665,0.869362618299183,0.7545002583525707,0.8945147679324894,0.880229958479719,0.8873148744365744,0.25
DETR,0.3176431172501807,0.5863308273038497,0.30867629474495567,0.48865791669827785,0.6857234110507825,0.570656507486489,0.25
